conn_id,tipification_group,tipification_detail,repeat_contact_flag
c00001,Billing,Incorrect Charge,0
c00002,Billing,Incorrect Charge,0
c00003,Billing,Incorrect Charge,1
c00004,Commercial,Portability Inquiry,0
c00005,Technical Support,Connectivity Issue,1
c00006,Technical Support,Connectivity Issue,1
c00007,Commercial,Plan Change Request,0
c00008,Technical Support,Connectivity Issue,0
c00009,Digital Channels,Payment App Issue,0
c00010,Technical Support,Connectivity Issue,1
c00011,Retention,Cancellation Request,0
c00012,Commercial,Portability Inquiry,0
c00013,Commercial,Plan Change Request,0
c00014,Technical Support,Connectivity Issue,0
c00015,Billing,Incorrect Charge,0
c00016,Claims,Claim Follow-up,0
c00017,Technical Support,Connectivity Issue,1
c00018,Technical Support,Connectivity Issue,0
c00019,Commercial,Portability Inquiry,0
c00020,Commercial,Plan Change Request,1
c00021,Claims,Claim Follow-up,1
c00022,Technical Support,Connectivity Issue,0
c00023,Technical Support,Connectivity Issue,0
c00024,Billing,Incorrect Charge,0
c00025,Commercial,Portability Inquiry,0
c00026,Commercial,Plan Change Request,0
c00027,General Support,Other,0
c00028,Technical Support,Connectivity Issue,1
c00029,General Support,Other,0
c00030,Retention,Cancellation Request,0
c00031,Claims,Claim Follow-up,1
c00032,Billing,Incorrect Charge,0
c00033,General Support,Other,0
c00034,Claims,Claim Follow-up,0
c00035,Claims,Claim Follow-up,1
c00036,Billing,Incorrect Charge,0
c00037,General Support,Other,0
c00038,Retention,Cancellation Request,0
c00039,Commercial,Plan Change Request,0
c00040,Technical Support,Connectivity Issue,1
c00041,Digital Channels,Payment App Issue,0
c00042,Commercial,Plan Change Request,1
c00043,Claims,Claim Follow-up,0
c00044,Commercial,Plan Change Request,0
c00045,Claims,Claim Follow-up,0
c00046,Technical Support,Connectivity Issue,0
c00047,General Support,Other,0
c00048,Commercial,Plan Change Request,0
c00049,Technical Support,Connectivity Issue,0
c00050,Technical Support,Connectivity Issue,0
c00051,Commercial,Plan Change Request,0
c00052,Billing,Incorrect Charge,0
c00053,Commercial,Plan Change Request,0
c00054,Commercial,Plan Change Request,0
c00055,Technical Support,Connectivity Issue,1
c00056,Commercial,Plan Change Request,0
c00057,Retention,Cancellation Request,1
c00058,Claims,Claim Follow-up,1
c00059,Billing,Incorrect Charge,0
c00060,Commercial,Plan Change Request,0
c00061,Retention,Cancellation Request,0
c00062,Billing,Incorrect Charge,0
c00063,General Support,Other,0
c00064,Commercial,Portability Inquiry,1
c00065,Technical Support,Connectivity Issue,0
c00066,Technical Support,Connectivity Issue,0
c00067,Billing,Incorrect Charge,1
c00068,Billing,Incorrect Charge,0
c00069,Technical Support,Connectivity Issue,0
c00070,Commercial,Plan Change Request,0
c00071,Digital Channels,Payment App Issue,0
c00072,Technical Support,Connectivity Issue,0
c00073,Digital Channels,Payment App Issue,1
c00074,Technical Support,Connectivity Issue,1
c00075,Technical Support,Connectivity Issue,1
c00076,Billing,Incorrect Charge,0
c00077,Technical Support,Connectivity Issue,1
c00078,Digital Channels,Payment App Issue,1
c00079,Commercial,Portability Inquiry,0
c00080,Digital Channels,Payment App Issue,0
c00081,Digital Channels,Payment App Issue,1
c00082,Claims,Claim Follow-up,1
c00083,Technical Support,Connectivity Issue,0
c00084,Billing,Incorrect Charge,0
c00085,Billing,Incorrect Charge,0
c00086,Billing,Incorrect Charge,1
c00087,Commercial,Plan Change Request,0
c00088,Billing,Incorrect Charge,1
c00089,Billing,Incorrect Charge,0
c00090,Billing,Incorrect Charge,0
c00091,Technical Support,Connectivity Issue,0
c00092,Technical Support,Connectivity Issue,1
c00093,Digital Channels,Payment App Issue,0
c00094,Commercial,Portability Inquiry,0
c00095,Billing,Incorrect Charge,0
c00096,Claims,Claim Follow-up,0
c00097,Commercial,Portability Inquiry,0
c00098,Digital Channels,Payment App Issue,0
c00099,Technical Support,Connectivity Issue,1
c00100,Retention,Cancellation Request,1
c00101,Billing,Incorrect Charge,0
c00102,General Support,Other,0
c00103,Claims,Claim Follow-up,1
c00104,Billing,Incorrect Charge,0
c00105,Retention,Cancellation Request,0
c00106,Billing,Incorrect Charge,1
c00107,Claims,Claim Follow-up,0
c00108,Retention,Cancellation Request,0
c00109,Billing,Incorrect Charge,0
c00110,Digital Channels,Payment App Issue,0
c00111,Claims,Claim Follow-up,0
c00112,Billing,Incorrect Charge,0
c00113,Billing,Incorrect Charge,0
c00114,Commercial,Portability Inquiry,0
c00115,Digital Channels,Payment App Issue,0
c00116,Digital Channels,Payment App Issue,0
c00117,Commercial,Portability Inquiry,0
c00118,Technical Support,Connectivity Issue,1
c00119,Technical Support,Connectivity Issue,1
c00120,Retention,Cancellation Request,1
c00121,Commercial,Plan Change Request,0
c00122,Commercial,Portability Inquiry,0
c00123,Retention,Cancellation Request,1
c00124,Commercial,Plan Change Request,0
c00125,Digital Channels,Payment App Issue,1
c00126,Digital Channels,Payment App Issue,0
c00127,Technical Support,Connectivity Issue,0
c00128,Commercial,Portability Inquiry,0
c00129,Commercial,Plan Change Request,0
c00130,Claims,Claim Follow-up,0
c00131,Billing,Incorrect Charge,0
c00132,General Support,Other,0
c00133,Technical Support,Connectivity Issue,0
c00134,Commercial,Plan Change Request,0
c00135,Digital Channels,Payment App Issue,0
c00136,Commercial,Plan Change Request,1
c00137,Technical Support,Connectivity Issue,0
c00138,Commercial,Plan Change Request,0
c00139,Technical Support,Connectivity Issue,0
c00140,Commercial,Portability Inquiry,0
c00141,Digital Channels,Payment App Issue,0
c00142,General Support,Other,0
c00143,Digital Channels,Payment App Issue,0
c00144,General Support,Other,0
c00145,Commercial,Plan Change Request,0
c00146,Digital Channels,Payment App Issue,0
c00147,Technical Support,Connectivity Issue,0
c00148,Retention,Cancellation Request,0
c00149,Retention,Cancellation Request,0
c00150,Digital Channels,Payment App Issue,0
c00151,Commercial,Plan Change Request,0
c00152,Retention,Cancellation Request,0
c00153,Digital Channels,Payment App Issue,0
c00154,Technical Support,Connectivity Issue,0
c00155,Billing,Incorrect Charge,0
c00156,General Support,Other,0
c00157,Billing,Incorrect Charge,0
c00158,General Support,Other,0
c00159,Technical Support,Connectivity Issue,0
c00160,Billing,Incorrect Charge,0
c00161,Digital Channels,Payment App Issue,0
c00162,Claims,Claim Follow-up,0
c00163,Billing,Incorrect Charge,0
c00164,Commercial,Portability Inquiry,0
c00165,Billing,Incorrect Charge,0
c00166,Commercial,Plan Change Request,1
c00167,Billing,Incorrect Charge,0
c00168,Claims,Claim Follow-up,1
c00169,Commercial,Portability Inquiry,0
c00170,Commercial,Plan Change Request,0
c00171,Commercial,Plan Change Request,0
c00172,Technical Support,Connectivity Issue,0
c00173,Billing,Incorrect Charge,0
c00174,Commercial,Plan Change Request,0
c00175,Billing,Incorrect Charge,0
c00176,Claims,Claim Follow-up,0
c00177,Commercial,Plan Change Request,1
c00178,Claims,Claim Follow-up,0
c00179,Commercial,Plan Change Request,0
c00180,General Support,Other,0
c00181,Commercial,Plan Change Request,0
c00182,Digital Channels,Payment App Issue,0
c00183,Digital Channels,Payment App Issue,0
c00184,Technical Support,Connectivity Issue,0
c00185,Billing,Incorrect Charge,1
c00186,Retention,Cancellation Request,0
c00187,Billing,Incorrect Charge,1
c00188,Billing,Incorrect Charge,0
c00189,General Support,Other,0
c00190,Billing,Incorrect Charge,1
c00191,Claims,Claim Follow-up,1
c00192,General Support,Other,0
c00193,Billing,Incorrect Charge,1
c00194,Commercial,Plan Change Request,0
c00195,Technical Support,Connectivity Issue,0
c00196,Digital Channels,Payment App Issue,1
c00197,Digital Channels,Payment App Issue,1
c00198,Claims,Claim Follow-up,0
c00199,Commercial,Portability Inquiry,0
c00200,Billing,Incorrect Charge,0
c00201,Technical Support,Connectivity Issue,0
c00202,Digital Channels,Payment App Issue,0
c00203,Digital Channels,Payment App Issue,0
c00204,Technical Support,Connectivity Issue,1
c00205,General Support,Other,0
c00206,Billing,Incorrect Charge,1
c00207,Claims,Claim Follow-up,0
c00208,Billing,Incorrect Charge,0
c00209,Commercial,Plan Change Request,0
c00210,Commercial,Plan Change Request,1
c00211,Claims,Claim Follow-up,1
c00212,General Support,Other,0
c00213,Claims,Claim Follow-up,0
c00214,Technical Support,Connectivity Issue,0
c00215,General Support,Other,0
c00216,Technical Support,Connectivity Issue,0
c00217,Billing,Incorrect Charge,0
c00218,Commercial,Plan Change Request,0
c00219,Claims,Claim Follow-up,0
c00220,Billing,Incorrect Charge,1
c00221,Billing,Incorrect Charge,0
c00222,Technical Support,Connectivity Issue,0
c00223,Commercial,Portability Inquiry,1
c00224,Retention,Cancellation Request,0
c00225,Technical Support,Connectivity Issue,0
c00226,Technical Support,Connectivity Issue,1
c00227,Technical Support,Connectivity Issue,1
c00228,Technical Support,Connectivity Issue,0
c00229,Billing,Incorrect Charge,1
c00230,General Support,Other,0
c00231,Commercial,Plan Change Request,0
c00232,Commercial,Plan Change Request,0
c00233,Commercial,Plan Change Request,0
c00234,Technical Support,Connectivity Issue,1
c00235,Billing,Incorrect Charge,0
c00236,Billing,Incorrect Charge,1
c00237,Commercial,Plan Change Request,1
c00238,Technical Support,Connectivity Issue,1
c00239,Technical Support,Connectivity Issue,0
c00240,General Support,Other,0
c00241,Billing,Incorrect Charge,0
c00242,Billing,Incorrect Charge,0
c00243,Digital Channels,Payment App Issue,1
c00244,Billing,Incorrect Charge,1
c00245,Technical Support,Connectivity Issue,0
c00246,Billing,Incorrect Charge,0
c00247,Commercial,Plan Change Request,0
c00248,Billing,Incorrect Charge,0
c00249,Claims,Claim Follow-up,0
c00250,Retention,Cancellation Request,0
c00251,Billing,Incorrect Charge,0
c00252,Billing,Incorrect Charge,0
c00253,Commercial,Plan Change Request,1
c00254,Technical Support,Connectivity Issue,0
c00255,Billing,Incorrect Charge,0
c00256,Billing,Incorrect Charge,1
c00257,Billing,Incorrect Charge,0
c00258,Billing,Incorrect Charge,0
c00259,Technical Support,Connectivity Issue,0
c00260,General Support,Other,0
c00261,Digital Channels,Payment App Issue,0
c00262,Digital Channels,Payment App Issue,1
c00263,Technical Support,Connectivity Issue,0
c00264,Billing,Incorrect Charge,1
c00265,Commercial,Plan Change Request,0
c00266,Retention,Cancellation Request,0
c00267,Retention,Cancellation Request,1
c00268,Technical Support,Connectivity Issue,0
c00269,Commercial,Plan Change Request,0
c00270,Technical Support,Connectivity Issue,0
c00271,Retention,Cancellation Request,0
c00272,Billing,Incorrect Charge,1
c00273,Commercial,Portability Inquiry,1
c00274,Billing,Incorrect Charge,0
c00275,Billing,Incorrect Charge,1
c00276,Billing,Incorrect Charge,0
c00277,Commercial,Portability Inquiry,0
c00278,Billing,Incorrect Charge,0
c00279,Commercial,Plan Change Request,0
c00280,Technical Support,Connectivity Issue,0
c00281,Digital Channels,Payment App Issue,0
c00282,Billing,Incorrect Charge,1
c00283,General Support,Other,0
c00284,Technical Support,Connectivity Issue,0
c00285,Technical Support,Connectivity Issue,1
c00286,Digital Channels,Payment App Issue,0
c00287,Technical Support,Connectivity Issue,0
c00288,Technical Support,Connectivity Issue,1
c00289,Retention,Cancellation Request,0
c00290,Commercial,Portability Inquiry,0
c00291,Retention,Cancellation Request,0
c00292,General Support,Other,0
c00293,Technical Support,Connectivity Issue,0
c00294,Technical Support,Connectivity Issue,0
c00295,Billing,Incorrect Charge,0
c00296,Billing,Incorrect Charge,1
c00297,Billing,Incorrect Charge,1
c00298,Billing,Incorrect Charge,1
c00299,Retention,Cancellation Request,0
c00300,Claims,Claim Follow-up,1
c00301,Billing,Incorrect Charge,0
c00302,Technical Support,Connectivity Issue,1
c00303,Claims,Claim Follow-up,0
c00304,Commercial,Portability Inquiry,0
c00305,General Support,Other,0
c00306,Technical Support,Connectivity Issue,0
c00307,Commercial,Plan Change Request,0
c00308,Retention,Cancellation Request,0
c00309,Retention,Cancellation Request,0
c00310,Commercial,Plan Change Request,1
c00311,Claims,Claim Follow-up,0
c00312,Technical Support,Connectivity Issue,0
c00313,Technical Support,Connectivity Issue,0
c00314,Technical Support,Connectivity Issue,0
c00315,Billing,Incorrect Charge,0
c00316,Retention,Cancellation Request,1
c00317,Technical Support,Connectivity Issue,0
c00318,Commercial,Portability Inquiry,0
c00319,Technical Support,Connectivity Issue,0
c00320,Billing,Incorrect Charge,1
c00321,Technical Support,Connectivity Issue,0
c00322,Billing,Incorrect Charge,0
c00323,Digital Channels,Payment App Issue,0
c00324,Billing,Incorrect Charge,0
c00325,Billing,Incorrect Charge,0
c00326,General Support,Other,0
c00327,Billing,Incorrect Charge,0
c00328,Claims,Claim Follow-up,0
c00329,Retention,Cancellation Request,0
c00330,Retention,Cancellation Request,0
c00331,Technical Support,Connectivity Issue,1
c00332,Retention,Cancellation Request,0
c00333,Commercial,Plan Change Request,1
c00334,General Support,Other,1
c00335,Commercial,Plan Change Request,1
c00336,Technical Support,Connectivity Issue,0
c00337,Retention,Cancellation Request,1
c00338,Digital Channels,Payment App Issue,0
c00339,Retention,Cancellation Request,0
c00340,Claims,Claim Follow-up,1
c00341,Technical Support,Connectivity Issue,0
c00342,Commercial,Plan Change Request,0
c00343,Digital Channels,Payment App Issue,0
c00344,General Support,Other,0
c00345,Billing,Incorrect Charge,0
c00346,Technical Support,Connectivity Issue,1
c00347,Billing,Incorrect Charge,0
c00348,Claims,Claim Follow-up,0
c00349,General Support,Other,1
c00350,Billing,Incorrect Charge,1
c00351,Digital Channels,Payment App Issue,0
c00352,Billing,Incorrect Charge,0
c00353,General Support,Other,0
c00354,Digital Channels,Payment App Issue,0
c00355,Technical Support,Connectivity Issue,0
c00356,Technical Support,Connectivity Issue,1
c00357,Retention,Cancellation Request,1
c00358,Commercial,Portability Inquiry,0
c00359,Billing,Incorrect Charge,1
c00360,Billing,Incorrect Charge,0
c00361,Retention,Cancellation Request,0
c00362,Digital Channels,Payment App Issue,0
c00363,Claims,Claim Follow-up,1
c00364,Commercial,Portability Inquiry,0
c00365,Technical Support,Connectivity Issue,0
c00366,Digital Channels,Payment App Issue,1
c00367,Claims,Claim Follow-up,1
c00368,Digital Channels,Payment App Issue,1
c00369,Commercial,Plan Change Request,0
c00370,General Support,Other,1
c00371,Commercial,Plan Change Request,0
c00372,Commercial,Plan Change Request,1
c00373,Technical Support,Connectivity Issue,0
c00374,Commercial,Plan Change Request,0
c00375,Commercial,Plan Change Request,0
c00376,Digital Channels,Payment App Issue,0
c00377,Technical Support,Connectivity Issue,0
c00378,Technical Support,Connectivity Issue,1
c00379,Commercial,Plan Change Request,0
c00380,Commercial,Plan Change Request,1
c00381,Technical Support,Connectivity Issue,0
c00382,Retention,Cancellation Request,0
c00383,Billing,Incorrect Charge,0
c00384,Retention,Cancellation Request,0
c00385,Retention,Cancellation Request,1
c00386,General Support,Other,0
c00387,Claims,Claim Follow-up,0
c00388,Billing,Incorrect Charge,0
c00389,Retention,Cancellation Request,0
c00390,Billing,Incorrect Charge,0
c00391,General Support,Other,0
c00392,Billing,Incorrect Charge,1
c00393,Claims,Claim Follow-up,0
c00394,Technical Support,Connectivity Issue,1
c00395,General Support,Other,0
c00396,General Support,Other,0
c00397,Technical Support,Connectivity Issue,0
c00398,Commercial,Plan Change Request,0
c00399,General Support,Other,0
c00400,Billing,Incorrect Charge,0
c00401,Commercial,Portability Inquiry,0
c00402,Commercial,Portability Inquiry,0
c00403,Technical Support,Connectivity Issue,1
c00404,Retention,Cancellation Request,0
c00405,Commercial,Portability Inquiry,0
c00406,Technical Support,Connectivity Issue,0
c00407,Claims,Claim Follow-up,1
c00408,Technical Support,Connectivity Issue,0
c00409,Commercial,Portability Inquiry,0
c00410,Commercial,Plan Change Request,0
c00411,Technical Support,Connectivity Issue,0
c00412,Commercial,Plan Change Request,0
c00413,Retention,Cancellation Request,0
c00414,Digital Channels,Payment App Issue,0
c00415,Technical Support,Connectivity Issue,1
c00416,Commercial,Plan Change Request,0
c00417,Billing,Incorrect Charge,0
c00418,Commercial,Portability Inquiry,0
c00419,Digital Channels,Payment App Issue,0
c00420,Billing,Incorrect Charge,0
c00421,Technical Support,Connectivity Issue,0
c00422,Technical Support,Connectivity Issue,1
c00423,Technical Support,Connectivity Issue,1
c00424,Commercial,Plan Change Request,0
c00425,Technical Support,Connectivity Issue,0
c00426,Claims,Claim Follow-up,1
c00427,Commercial,Plan Change Request,0
c00428,Commercial,Plan Change Request,0
c00429,Technical Support,Connectivity Issue,1
c00430,Technical Support,Connectivity Issue,0
c00431,Billing,Incorrect Charge,1
c00432,Technical Support,Connectivity Issue,0
c00433,Digital Channels,Payment App Issue,0
c00434,Billing,Incorrect Charge,0
c00435,Commercial,Portability Inquiry,0
c00436,Commercial,Plan Change Request,0
c00437,Billing,Incorrect Charge,0
c00438,Commercial,Plan Change Request,0
c00439,Claims,Claim Follow-up,0
c00440,Technical Support,Connectivity Issue,0
c00441,Technical Support,Connectivity Issue,0
c00442,Digital Channels,Payment App Issue,0
c00443,Digital Channels,Payment App Issue,0
c00444,Technical Support,Connectivity Issue,0
c00445,Digital Channels,Payment App Issue,0
c00446,Commercial,Plan Change Request,0
c00447,Technical Support,Connectivity Issue,0
c00448,Retention,Cancellation Request,0
c00449,Billing,Incorrect Charge,0
c00450,Claims,Claim Follow-up,0
c00451,Retention,Cancellation Request,0
c00452,Commercial,Plan Change Request,0
c00453,Billing,Incorrect Charge,0
c00454,Billing,Incorrect Charge,0
c00455,Commercial,Plan Change Request,0
c00456,Digital Channels,Payment App Issue,0
c00457,Claims,Claim Follow-up,0
c00458,Billing,Incorrect Charge,1
c00459,Billing,Incorrect Charge,1
c00460,Billing,Incorrect Charge,0
c00461,Commercial,Plan Change Request,0
c00462,Digital Channels,Payment App Issue,0
c00463,Technical Support,Connectivity Issue,1
c00464,Digital Channels,Payment App Issue,0
c00465,Technical Support,Connectivity Issue,0
c00466,Billing,Incorrect Charge,0
c00467,Billing,Incorrect Charge,1
c00468,Retention,Cancellation Request,0
c00469,Billing,Incorrect Charge,0
c00470,Claims,Claim Follow-up,0
c00471,Technical Support,Connectivity Issue,0
c00472,Billing,Incorrect Charge,1
c00473,Billing,Incorrect Charge,1
c00474,Commercial,Plan Change Request,1
c00475,Digital Channels,Payment App Issue,0
c00476,Retention,Cancellation Request,0
c00477,Commercial,Portability Inquiry,0
c00478,Billing,Incorrect Charge,0
c00479,Technical Support,Connectivity Issue,0
c00480,Commercial,Portability Inquiry,0
c00481,Technical Support,Connectivity Issue,0
c00482,Retention,Cancellation Request,0
c00483,Digital Channels,Payment App Issue,0
c00484,Technical Support,Connectivity Issue,0
c00485,Billing,Incorrect Charge,0
c00486,Billing,Incorrect Charge,0
c00487,Technical Support,Connectivity Issue,0
c00488,Billing,Incorrect Charge,0
c00489,General Support,Other,0
c00490,Retention,Cancellation Request,0
c00491,Billing,Incorrect Charge,0
c00492,Billing,Incorrect Charge,0
c00493,Commercial,Portability Inquiry,0
c00494,Billing,Incorrect Charge,0
c00495,Claims,Claim Follow-up,1
c00496,Commercial,Portability Inquiry,0
c00497,Billing,Incorrect Charge,0
c00498,Technical Support,Connectivity Issue,0
c00499,Billing,Incorrect Charge,0
c00500,Retention,Cancellation Request,0
c00501,Technical Support,Connectivity Issue,1
c00502,Technical Support,Connectivity Issue,0
c00503,Technical Support,Connectivity Issue,0
c00504,Billing,Incorrect Charge,0
c00505,Claims,Claim Follow-up,0
c00506,Billing,Incorrect Charge,0
c00507,Billing,Incorrect Charge,0
c00508,Claims,Claim Follow-up,1
c00509,General Support,Other,0
c00510,Commercial,Portability Inquiry,0
c00511,Technical Support,Connectivity Issue,0
c00512,Claims,Claim Follow-up,0
c00513,Billing,Incorrect Charge,1
c00514,Digital Channels,Payment App Issue,0
c00515,General Support,Other,0
c00516,Claims,Claim Follow-up,0
c00517,Commercial,Plan Change Request,0
c00518,Digital Channels,Payment App Issue,0
c00519,Claims,Claim Follow-up,0
c00520,Billing,Incorrect Charge,0
c00521,Digital Channels,Payment App Issue,0
c00522,Retention,Cancellation Request,0
c00523,Technical Support,Connectivity Issue,1
c00524,Technical Support,Connectivity Issue,0
c00525,Retention,Cancellation Request,0
c00526,Digital Channels,Payment App Issue,0
c00527,Digital Channels,Payment App Issue,0
c00528,Technical Support,Connectivity Issue,0
c00529,Commercial,Plan Change Request,0
c00530,Commercial,Plan Change Request,0
c00531,Technical Support,Connectivity Issue,1
c00532,Commercial,Plan Change Request,0
c00533,Retention,Cancellation Request,0
c00534,Digital Channels,Payment App Issue,0
c00535,Technical Support,Connectivity Issue,0
c00536,Technical Support,Connectivity Issue,1
c00537,Technical Support,Connectivity Issue,1
c00538,Billing,Incorrect Charge,0
c00539,Commercial,Plan Change Request,0
c00540,Retention,Cancellation Request,0
c00541,Retention,Cancellation Request,0
c00542,Technical Support,Connectivity Issue,1
c00543,Commercial,Plan Change Request,1
c00544,Commercial,Portability Inquiry,0
c00545,Technical Support,Connectivity Issue,1
c00546,Commercial,Portability Inquiry,0
c00547,Commercial,Portability Inquiry,0
c00548,Commercial,Portability Inquiry,1
c00549,Billing,Incorrect Charge,0
c00550,Billing,Incorrect Charge,0
c00551,Technical Support,Connectivity Issue,1
c00552,Commercial,Plan Change Request,0
c00553,Billing,Incorrect Charge,0
c00554,Retention,Cancellation Request,0
c00555,Billing,Incorrect Charge,1
c00556,Commercial,Plan Change Request,0
c00557,Retention,Cancellation Request,1
c00558,Technical Support,Connectivity Issue,0
c00559,Billing,Incorrect Charge,0
c00560,General Support,Other,0
c00561,Retention,Cancellation Request,0
c00562,Commercial,Plan Change Request,0
c00563,Claims,Claim Follow-up,0
c00564,General Support,Other,0
c00565,Commercial,Portability Inquiry,0
c00566,General Support,Other,0
c00567,Retention,Cancellation Request,0
c00568,Technical Support,Connectivity Issue,0
c00569,Technical Support,Connectivity Issue,1
c00570,Billing,Incorrect Charge,0
c00571,Technical Support,Connectivity Issue,1
c00572,Technical Support,Connectivity Issue,0
c00573,Technical Support,Connectivity Issue,0
c00574,Digital Channels,Payment App Issue,0
c00575,Claims,Claim Follow-up,0
c00576,General Support,Other,0
c00577,Technical Support,Connectivity Issue,1
c00578,Commercial,Portability Inquiry,0
c00579,Digital Channels,Payment App Issue,0
c00580,Commercial,Plan Change Request,0
c00581,Technical Support,Connectivity Issue,0
c00582,Technical Support,Connectivity Issue,1
c00583,Billing,Incorrect Charge,1
c00584,Billing,Incorrect Charge,1
c00585,Technical Support,Connectivity Issue,0
c00586,Commercial,Plan Change Request,1
c00587,Billing,Incorrect Charge,0
c00588,Technical Support,Connectivity Issue,1
c00589,General Support,Other,0
c00590,Retention,Cancellation Request,0
c00591,Technical Support,Connectivity Issue,0
c00592,Claims,Claim Follow-up,1
c00593,Digital Channels,Payment App Issue,0
c00594,General Support,Other,0
c00595,Claims,Claim Follow-up,0
c00596,Technical Support,Connectivity Issue,0
c00597,Billing,Incorrect Charge,0
c00598,Technical Support,Connectivity Issue,0
c00599,Commercial,Portability Inquiry,0
c00600,Billing,Incorrect Charge,0
c00601,General Support,Other,0
c00602,Billing,Incorrect Charge,0
c00603,Billing,Incorrect Charge,0
c00604,Technical Support,Connectivity Issue,0
c00605,Technical Support,Connectivity Issue,0
c00606,Claims,Claim Follow-up,0
c00607,Commercial,Plan Change Request,1
c00608,Commercial,Plan Change Request,0
c00609,Billing,Incorrect Charge,1
c00610,Technical Support,Connectivity Issue,0
c00611,Commercial,Portability Inquiry,0
c00612,Billing,Incorrect Charge,0
c00613,Billing,Incorrect Charge,0
c00614,Retention,Cancellation Request,0
c00615,Retention,Cancellation Request,0
c00616,Technical Support,Connectivity Issue,0
c00617,Commercial,Plan Change Request,0
c00618,Digital Channels,Payment App Issue,1
c00619,Technical Support,Connectivity Issue,0
c00620,Billing,Incorrect Charge,1
c00621,General Support,Other,0
c00622,Digital Channels,Payment App Issue,0
c00623,Claims,Claim Follow-up,0
c00624,Commercial,Plan Change Request,1
c00625,Billing,Incorrect Charge,1
c00626,Billing,Incorrect Charge,0
c00627,Technical Support,Connectivity Issue,0
c00628,Retention,Cancellation Request,1
c00629,Technical Support,Connectivity Issue,0
c00630,Retention,Cancellation Request,0
c00631,Billing,Incorrect Charge,0
c00632,Digital Channels,Payment App Issue,0
c00633,Claims,Claim Follow-up,1
c00634,Claims,Claim Follow-up,0
c00635,Technical Support,Connectivity Issue,0
